,quick_pick_submit.py,quick_look_v0.py,quick_look_v5.py,deep_lookahead.py,heuristic_v8.py,experimental_agent_v6.py,experimental_agent_v7.py,experimental_agent_v8.py,pruner_v5.py,prunerBD.py,prunerZ_ready.py,test_agent_v1.py,test_agent_v4.py,test_agent_v6.py,test_agent_v9.py,<function negamax_agent at 0x7f681f42f9d8>,<function random_agent at 0x7f681f42f950>
quick_pick_submit.py,0.0,0.5,0.5,0.5,0.8,0.5,1.0,0.5,0.8,0.9,0.5,0.5,0.5,0.5,0.5,1.0,1.0
quick_look_v0.py,0.5,0.0,0.5,0.0,0.8,0.0,0.9,0.5,0.8,0.4,0.8,0.0,0.7,0.5,0.5,1.0,1.0
quick_look_v5.py,0.5,0.5,0.0,0.0,0.5,0.0,0.6,0.5,0.8,0.3,0.6,0.0,0.7,0.5,0.5,0.9,1.0
deep_lookahead.py,0.5,1.0,1.0,0.0,0.8,0.5,0.5,0.5,0.3,0.5,0.3,1.0,0.3,0.5,0.5,1.0,1.0
heuristic_v8.py,0.2,0.2,0.5,0.1,0.0,0.3,0.3,0.4,0.5,0.5,0.3,0.5,0.0,0.2,0.2,0.9,1.0
experimental_agent_v6.py,0.5,1.0,1.0,0.5,0.6,0.0,0.5,0.0,0.5,0.8,0.5,1.0,0.5,0.5,0.5,0.9,1.0
experimental_agent_v7.py,0.0,0.1,0.4,0.3,0.6,0.5,0.0,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.9,1.0
experimental_agent_v8.py,0.5,0.5,0.5,0.5,0.6,1.0,0.5,0.0,0.6,0.7,0.5,0.5,0.5,0.5,0.5,1.0,1.0
pruner_v5.py,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.4,0.0,0.6,0.2,0.1,0.1,0.4,0.0,0.9,1.0
prunerBD.py,0.1,0.6,0.6,0.4,0.5,0.2,0.4,0.3,0.3,0.0,0.1,0.5,0.1,0.2,0.1,0.9,1.0
prunerZ_ready.py,0.5,0.2,0.4,0.7,0.7,0.5,1.0,0.5,0.8,0.9,0.0,0.5,0.5,0.5,0.5,0.8,1.0
test_agent_v1.py,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.8,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0
test_agent_v4.py,0.5,0.3,0.3,0.7,0.9,0.5,1.0,0.5,0.9,0.9,0.5,0.5,0.0,0.5,0.5,1.0,1.0
test_agent_v6.py,0.5,0.5,0.5,0.5,0.8,0.5,1.0,0.5,0.6,0.8,0.5,0.5,0.5,0.0,0.5,1.0,1.0
test_agent_v9.py,0.5,0.5,0.5,0.5,0.8,0.5,1.0,0.5,1.0,0.9,0.5,0.5,0.5,0.5,0.0,0.9,1.0
<function negamax_agent at 0x7f681f42f9d8>,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,1.0
<function random_agent at 0x7f681f42f950>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
